Epoch 001/1 | Batch 0003/4 | Index 0026/4710 | Loss:  19.2386 | Loss_p:    11.61 | PPx:  1422.22 | Lexp:    37.21 | LR: 2.8662e-05 | Device: cuda | Batch_t:  4.38s | Remaining: 22.80h
Epoch 001/1 | Batch 0003/4 | Index 0027/4710 | Loss:  19.1971 | Loss_p:    11.57 | PPx:  1374.93 | Lexp:    39.94 | LR: 2.9724e-05 | Device: cuda | Batch_t:  4.32s | Remaining: 22.45h
Epoch 001/1 | Batch 0003/4 | Index 0028/4710 | Loss:  19.0906 | Loss_p:    11.54 | PPx:  1250.14 | Lexp:    41.78 | LR: 3.0786e-05 | Device: cuda | Batch_t:  4.35s | Remaining: 22.61h
Epoch 001/1 | Batch 0003/4 | Index 0029/4710 | Loss:  19.0790 | Loss_p:    11.53 | PPx:  1240.33 | Lexp:    42.82 | LR: 3.1847e-05 | Device: cuda | Batch_t:  4.42s | Remaining: 22.99h
Epoch 001/1 | Batch 0003/4 | Index 0030/4710 | Loss:  18.9578 | Loss_p:    11.49 | PPx:  1133.91 | Lexp:    43.44 | LR: 3.2909e-05 | Device: cuda | Batch_t:  4.30s | Remaining: 22.37h
| Estimated Remaining:22.70 hours | 
Epoch 001/1 | Batch 0003/4 | Index 0031/4710 | Loss:  18.9186 | Loss_p:    11.48 | PPx:  1091.95 | Lexp:    44.51 | LR: 3.3970e-05 | Device: cuda | Batch_t:  4.26s | Remaining: 22.12h
Epoch 001/1 | Batch 0003/4 | Index 0032/4710 | Loss:  18.8739 | Loss_p:    11.44 | PPx:  1072.48 | Lexp:    45.94 | LR: 3.5032e-05 | Device: cuda | Batch_t:  4.24s | Remaining: 22.04h
Epoch 001/1 | Batch 0003/4 | Index 0033/4710 | Loss:  18.7909 | Loss_p:    11.41 | PPx:  1010.60 | Lexp:    46.40 | LR: 3.6093e-05 | Device: cuda | Batch_t:  4.27s | Remaining: 22.20h
Epoch 001/1 | Batch 0003/4 | Index 0034/4710 | Loss:  18.6475 | Loss_p:    11.36 | PPx:   907.04 | Lexp:    47.66 | LR: 3.7155e-05 | Device: cuda | Batch_t:  4.23s | Remaining: 21.95h
Epoch 001/1 | Batch 0003/4 | Index 0035/4710 | Loss:  18.6572 | Loss_p:    11.34 | PPx:   925.15 | Lexp:    48.73 | LR: 3.8217e-05 | Device: cuda | Batch_t:  4.22s | Remaining: 21.89h
Epoch 001/1 | Batch 0003/4 | Index 0036/4710 | Loss:  18.5472 | Loss_p:    11.31 | PPx:   838.01 | Lexp:    51.00 | LR: 3.9278e-05 | Device: cuda | Batch_t:  4.25s | Remaining: 22.07h
Epoch 001/1 | Batch 0003/4 | Index 0037/4710 | Loss:  18.5254 | Loss_p:    11.29 | PPx:   809.38 | Lexp:    54.33 | LR: 4.0340e-05 | Device: cuda | Batch_t:  4.26s | Remaining: 22.12h
Epoch 001/1 | Batch 0003/4 | Index 0038/4710 | Loss:  18.5063 | Loss_p:    11.26 | PPx:   795.53 | Lexp:    56.67 | LR: 4.1401e-05 | Device: cuda | Batch_t:  4.25s | Remaining: 22.04h
Epoch 001/1 | Batch 0003/4 | Index 0039/4710 | Loss:  18.4662 | Loss_p:    11.23 | PPx:   763.75 | Lexp:    59.93 | LR: 4.2463e-05 | Device: cuda | Batch_t:  4.26s | Remaining: 22.12h
Epoch 001/1 | Batch 0003/4 | Index 0040/4710 | Loss:  18.4080 | Loss_p:    11.18 | PPx:   727.01 | Lexp:    63.72 | LR: 4.3524e-05 | Device: cuda | Batch_t:  4.30s | Remaining: 22.30h
| Estimated Remaining:22.52 hours | 
Epoch 001/1 | Batch 0003/4 | Index 0041/4710 | Loss:  18.3756 | Loss_p:    11.18 | PPx:   677.47 | Lexp:    67.50 | LR: 4.4586e-05 | Device: cuda | Batch_t:  4.25s | Remaining: 22.04h
Epoch 001/1 | Batch 0003/4 | Index 0042/4710 | Loss:  18.4609 | Loss_p:    11.15 | PPx:   730.72 | Lexp:    71.42 | LR: 4.5648e-05 | Device: cuda | Batch_t:  4.25s | Remaining: 22.03h
Epoch 001/1 | Batch 0003/4 | Index 0043/4710 | Loss:  18.3295 | Loss_p:    11.10 | PPx:   637.45 | Lexp:    76.91 | LR: 4.6709e-05 | Device: cuda | Batch_t:  4.30s | Remaining: 22.28h
