Epoch 001/1 | Batch 0013/18 | Index 0024/4710 | Loss:  14.2634 | Loss_p:     8.94 | PPx:   136.69 | Lexp:    40.76 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.97s | Remaining: 163.32h
Epoch 001/1 | Batch 0011/18 | Index 0025/4710 | Loss:  14.6858 | Loss_p:     8.96 | PPx:   199.81 | Lexp:    42.88 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.60s | Remaining: 154.60h
Epoch 001/1 | Batch 0009/18 | Index 0026/4710 | Loss:  14.4825 | Loss_p:     9.01 | PPx:   147.25 | Lexp:    47.68 | LR: 5.0000e-04 | Device: cuda | Batch_t:  7.02s | Remaining: 164.36h
Epoch 001/1 | Batch 0007/18 | Index 0027/4710 | Loss:  14.1201 | Loss_p:     8.79 | PPx:   136.36 | Lexp:    41.51 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.83s | Remaining: 159.87h
Epoch 001/1 | Batch 0005/18 | Index 0028/4710 | Loss:  14.4389 | Loss_p:     8.87 | PPx:   159.73 | Lexp:    49.65 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.74s | Remaining: 157.66h
Epoch 001/1 | Batch 0003/18 | Index 0029/4710 | Loss:  14.5157 | Loss_p:     8.92 | PPx:   175.55 | Lexp:    42.93 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.92s | Remaining: 161.90h
Epoch 001/1 | Batch 0001/18 | Index 0030/4710 | Loss:  14.1073 | Loss_p:     8.76 | PPx:   132.40 | Lexp:    45.78 | LR: 5.0000e-04 | Device: cuda | Batch_t:  7.28s | Remaining: 170.44h
Epoch 001/1 | Batch 0017/18 | Index 0030/4710 | Loss:  13.8559 | Loss_p:     8.65 | PPx:   126.62 | Lexp:    36.81 | LR: 5.0000e-04 | Device: cuda | Batch_t:  7.11s | Remaining: 166.25h
Epoch 001/1 | Batch 0014/18 | Index 0031/4710 | Loss:  14.4052 | Loss_p:     8.74 | PPx:   171.18 | Lexp:    52.20 | LR: 5.0000e-04 | Device: cuda | Batch_t:  7.17s | Remaining: 167.73h
Epoch 001/1 | Batch 0012/18 | Index 0032/4710 | Loss:  14.0266 | Loss_p:     8.63 | PPx:   148.99 | Lexp:    39.53 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.57s | Remaining: 153.55h
Epoch 001/1 | Batch 0010/18 | Index 0033/4710 | Loss:  13.9505 | Loss_p:     8.63 | PPx:   137.38 | Lexp:    39.67 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.62s | Remaining: 154.69h
Epoch 001/1 | Batch 0008/18 | Index 0034/4710 | Loss:  13.7750 | Loss_p:     8.48 | PPx:   136.05 | Lexp:    37.87 | LR: 5.0000e-04 | Device: cuda | Batch_t:  7.29s | Remaining: 170.45h
Epoch 001/1 | Batch 0006/18 | Index 0035/4710 | Loss:  13.6446 | Loss_p:     8.48 | PPx:   112.83 | Lexp:    43.55 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.26s | Remaining: 146.42h
Epoch 001/1 | Batch 0004/18 | Index 0036/4710 | Loss:  13.7960 | Loss_p:     8.49 | PPx:   134.10 | Lexp:    40.43 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.99s | Remaining: 163.37h
Epoch 001/1 | Batch 0002/18 | Index 0037/4710 | Loss:  13.4944 | Loss_p:     8.34 | PPx:   117.51 | Lexp:    38.91 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.89s | Remaining: 160.87h
Epoch 001/1 | Batch 0018/18 | Index 0037/4710 | Loss:  13.2554 | Loss_p:     8.23 | PPx:   100.12 | Lexp:    41.77 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.06s | Remaining: 141.64h
Epoch 001/1 | Batch 0016/18 | Index 0038/4710 | Loss:  13.5416 | Loss_p:     8.38 | PPx:   114.33 | Lexp:    42.54 | LR: 5.0000e-04 | Device: cuda | Batch_t:  7.17s | Remaining: 167.50h
Epoch 001/1 | Batch 0014/18 | Index 0039/4710 | Loss:  13.5109 | Loss_p:     8.31 | PPx:   122.05 | Lexp:    40.09 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.86s | Remaining: 160.22h
Epoch 001/1 | Batch 0012/18 | Index 0040/4710 | Loss:  13.8231 | Loss_p:     8.47 | PPx:   143.73 | Lexp:    38.43 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.84s | Remaining: 159.58h
Epoch 001/1 | Batch 0009/18 | Index 0041/4710 | Loss:  13.1525 | Loss_p:     8.18 | PPx:   102.00 | Lexp:    35.26 | LR: 5.0000e-04 | Device: cuda | Batch_t:  7.43s | Remaining: 173.40h
Epoch 001/1 | Batch 0007/18 | Index 0042/4710 | Loss:  12.7001 | Loss_p:     7.99 | PPx:    77.99 | Lexp:    35.85 | LR: 5.0000e-04 | Device: cuda | Batch_t:  7.15s | Remaining: 166.80h
Epoch 001/1 | Batch 0005/18 | Index 0043/4710 | Loss:  13.0589 | Loss_p:     8.04 | PPx:   101.73 | Lexp:    39.79 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.62s | Remaining: 154.49h
Epoch 001/1 | Batch 0003/18 | Index 0044/4710 | Loss:  13.1630 | Loss_p:     8.16 | PPx:   104.15 | Lexp:    35.90 | LR: 5.0000e-04 | Device: cuda | Batch_t:  7.18s | Remaining: 167.42h
Epoch 001/1 | Batch 0001/18 | Index 0045/4710 | Loss:  12.7763 | Loss_p:     8.00 | PPx:    82.09 | Lexp:    37.32 | LR: 5.0000e-04 | Device: cuda | Batch_t:  7.05s | Remaining: 164.34h
Epoch 001/1 | Batch 0017/18 | Index 0045/4710 | Loss:  13.1702 | Loss_p:     8.05 | PPx:   111.05 | Lexp:    40.96 | LR: 5.0000e-04 | Device: cuda | Batch_t:  6.81s | Remaining: 158.71h
