Epoch 001/1 | Batch 0003/4 | Index 0026/4710 | Loss:  20.1445 | Loss_p:    12.04 | PPx:  3056.64 | Lexp:     8.33 | LR: 2.8662e-05 | Device: cuda | Batch_t:  3.33s | Remaining: 17.35h
Epoch 001/1 | Batch 0003/4 | Index 0027/4710 | Loss:  20.1178 | Loss_p:    12.03 | PPx:  2995.83 | Lexp:     8.56 | LR: 2.9724e-05 | Device: cuda | Batch_t:  2.98s | Remaining: 15.53h
Epoch 001/1 | Batch 0003/4 | Index 0028/4710 | Loss:  20.0520 | Loss_p:    12.03 | PPx:  2808.90 | Lexp:     8.36 | LR: 3.0786e-05 | Device: cuda | Batch_t:  4.13s | Remaining: 21.50h
Epoch 001/1 | Batch 0003/4 | Index 0029/4710 | Loss:  20.0162 | Loss_p:    12.03 | PPx:  2703.03 | Lexp:     8.54 | LR: 3.1847e-05 | Device: cuda | Batch_t:  3.95s | Remaining: 20.55h
Epoch 001/1 | Batch 0003/4 | Index 0030/4710 | Loss:  19.9609 | Loss_p:    12.03 | PPx:  2548.72 | Lexp:     8.54 | LR: 3.2909e-05 | Device: cuda | Batch_t:  3.96s | Remaining: 20.58h
| Estimated Remaining:24.01 hours | 
Epoch 001/1 | Batch 0003/4 | Index 0031/4710 | Loss:  19.8985 | Loss_p:    12.03 | PPx:  2402.50 | Lexp:     8.57 | LR: 3.3970e-05 | Device: cuda | Batch_t:  3.38s | Remaining: 17.59h
Epoch 001/1 | Batch 0003/4 | Index 0032/4710 | Loss:  19.8697 | Loss_p:    12.02 | PPx:  2358.84 | Lexp:     8.65 | LR: 3.5032e-05 | Device: cuda | Batch_t:  3.82s | Remaining: 19.83h
Epoch 001/1 | Batch 0003/4 | Index 0033/4710 | Loss:  19.8211 | Loss_p:    12.03 | PPx:  2230.30 | Lexp:     8.51 | LR: 3.6093e-05 | Device: cuda | Batch_t:  3.62s | Remaining: 18.83h
Epoch 001/1 | Batch 0003/4 | Index 0034/4710 | Loss:  19.7430 | Loss_p:    12.02 | PPx:  2079.46 | Lexp:     8.58 | LR: 3.7155e-05 | Device: cuda | Batch_t:  3.36s | Remaining: 17.47h
Epoch 001/1 | Batch 0003/4 | Index 0035/4710 | Loss:  19.7316 | Loss_p:    12.02 | PPx:  2044.19 | Lexp:     8.49 | LR: 3.8217e-05 | Device: cuda | Batch_t:  3.49s | Remaining: 18.12h
Epoch 001/1 | Batch 0003/4 | Index 0036/4710 | Loss:  19.6524 | Loss_p:    12.02 | PPx:  1885.95 | Lexp:     9.02 | LR: 3.9278e-05 | Device: cuda | Batch_t:  3.40s | Remaining: 17.63h
Epoch 001/1 | Batch 0003/4 | Index 0037/4710 | Loss:  19.6079 | Loss_p:    12.02 | PPx:  1808.85 | Lexp:     8.72 | LR: 4.0340e-05 | Device: cuda | Batch_t:  3.65s | Remaining: 18.95h
Epoch 001/1 | Batch 0003/4 | Index 0038/4710 | Loss:  19.5514 | Loss_p:    12.01 | PPx:  1721.21 | Lexp:     8.69 | LR: 4.1401e-05 | Device: cuda | Batch_t:  3.16s | Remaining: 16.40h
Epoch 001/1 | Batch 0003/4 | Index 0039/4710 | Loss:  19.5274 | Loss_p:    12.02 | PPx:  1670.59 | Lexp:     8.50 | LR: 4.2463e-05 | Device: cuda | Batch_t:  3.10s | Remaining: 16.06h
Epoch 001/1 | Batch 0003/4 | Index 0040/4710 | Loss:  19.4781 | Loss_p:    12.03 | PPx:  1581.95 | Lexp:     8.47 | LR: 4.3524e-05 | Device: cuda | Batch_t:  3.31s | Remaining: 17.17h
| Estimated Remaining:20.68 hours | 
Epoch 001/1 | Batch 0003/4 | Index 0041/4710 | Loss:  19.4226 | Loss_p:    12.04 | PPx:  1476.54 | Lexp:     8.57 | LR: 4.4586e-05 | Device: cuda | Batch_t:  3.17s | Remaining: 16.43h
Epoch 001/1 | Batch 0003/4 | Index 0042/4710 | Loss:  19.4086 | Loss_p:    12.01 | PPx:  1489.76 | Lexp:     8.90 | LR: 4.5648e-05 | Device: cuda | Batch_t:  3.03s | Remaining: 15.73h
Epoch 001/1 | Batch 0003/4 | Index 0043/4710 | Loss:  19.3189 | Loss_p:    12.02 | PPx:  1357.87 | Lexp:     8.58 | LR: 4.6709e-05 | Device: cuda | Batch_t:  2.69s | Remaining: 13.96h
Epoch 001/1 | Batch 0003/4 | Index 0044/4710 | Loss:  19.3133 | Loss_p:    12.02 | PPx:  1352.94 | Lexp:     8.68 | LR: 4.7771e-05 | Device: cuda | Batch_t:  2.74s | Remaining: 14.20h
Epoch 001/1 | Batch 0003/4 | Index 0045/4710 | Loss:  19.2420 | Loss_p:    12.02 | PPx:  1250.28 | Lexp:     8.76 | LR: 4.8832e-05 | Device: cuda | Batch_t:  3.22s | Remaining: 16.68h
Epoch 001/1 | Batch 0003/4 | Index 0046/4710 | Loss:  19.1931 | Loss_p:    12.02 | PPx:  1198.94 | Lexp:     8.50 | LR: 4.9894e-05 | Device: cuda | Batch_t:  2.93s | Remaining: 15.18h
Epoch 001/1 | Batch 0003/4 | Index 0047/4710 | Loss:  19.1868 | Loss_p:    12.02 | PPx:  1188.21 | Lexp:     8.46 | LR: 5.0955e-05 | Device: cuda | Batch_t:  2.88s | Remaining: 14.92h
Epoch 001/1 | Batch 0003/4 | Index 0048/4710 | Loss:  19.1280 | Loss_p:    12.03 | PPx:  1115.01 | Lexp:     8.52 | LR: 5.2017e-05 | Device: cuda | Batch_t:  3.12s | Remaining: 16.15h
Epoch 001/1 | Batch 0003/4 | Index 0049/4710 | Loss:  19.0739 | Loss_p:    12.02 | PPx:  1065.76 | Lexp:     8.48 | LR: 5.3079e-05 | Device: cuda | Batch_t:  3.13s | Remaining: 16.22h
Epoch 001/1 | Batch 0003/4 | Index 0050/4710 | Loss:  19.0792 | Loss_p:    12.02 | PPx:  1069.71 | Lexp:     8.49 | LR: 5.4140e-05 | Device: cuda | Batch_t:  3.39s | Remaining: 17.57h
| Estimated Remaining:20.33 hours | 
Epoch 001/1 | Batch 0003/4 | Index 0051/4710 | Loss:  19.0703 | Loss_p:    12.02 | PPx:  1061.96 | Lexp:     8.60 | LR: 5.5202e-05 | Device: cuda | Batch_t:  3.09s | Remaining: 15.98h
Epoch 001/1 | Batch 0003/4 | Index 0052/4710 | Loss:  19.0401 | Loss_p:    12.03 | PPx:  1014.31 | Lexp:     8.67 | LR: 5.6263e-05 | Device: cuda | Batch_t:  3.26s | Remaining: 16.87h
Epoch 001/1 | Batch 0003/4 | Index 0053/4710 | Loss:  18.9787 | Loss_p:    12.02 | PPx:   969.69 | Lexp:     8.55 | LR: 5.7325e-05 | Device: cuda | Batch_t:  2.56s | Remaining: 13.25h
Epoch 001/1 | Batch 0003/4 | Index 0054/4710 | Loss:  18.9472 | Loss_p:    12.04 | PPx:   924.06 | Lexp:     8.34 | LR: 5.8386e-05 | Device: cuda | Batch_t:  2.59s | Remaining: 13.40h
